10.57	2.5	1
13.128	2.5	1
15.687	2.5	1
18.26	2.5	1
20.832	2.5	1
23.391	2.5	1
25.95	2.5	1
28.509	2.5	1
31.068	2.5	1
33.627	2.5	1
81.794	2.5	1
84.366	2.5	1
86.939	2.5	1
89.511	2.5	1
92.083	2.5	1
94.656	2.5	1
97.228	2.5	1
99.8	2.5	1
102.373	2.5	1
104.945	2.5	1
153.086	2.5	1
155.645	2.5	1
158.204	2.5	1
160.763	2.5	1
163.322	2.5	1
165.881	2.5	1
168.439	2.5	1
170.999	2.5	1
173.557	2.5	1
176.116	2.5	1
181.181	2.5	1
183.753	2.5	1
186.325	2.5	1
188.898	2.5	1
191.47	2.5	1
194.042	2.5	1
196.615	2.5	1
199.187	2.5	1
201.759	2.5	1
204.332	2.5	1
