,dists,v_dists,h_dists,type,delay,times,bins
0,9.417927224846155,7.725441719954523,5.386548379443416,invalid,100,0.7330439506189199,9
1,19.388892926680384,16.175660599707715,10.690050190964497,invalid,100,0.771909801783103,19
2,16.072110731982864,11.415056750510725,11.314116084066765,invalid,100,0.7980108206082968,16
3,20.063501172102043,14.620841977095887,13.739543630111259,invalid,300,0.6519891904538122,20
4,5.144423153673866,3.754355519806682,3.5170874619424617,invalid,100,0.561206067972101,5
5,12.811043569581168,11.314881773445396,6.008018624693183,invalid,100,0.765522395956744,13
6,5.107063459546541,5.034901784351871,0.8554888671197464,invalid,100,0.6429212851114756,5
7,9.435725201951223,5.306877226054091,7.801920545245631,invalid,300,0.515303882246519,9
8,2.341973214484249,2.2964816095596676,0.4593590690472142,invalid,300,0.5788591675959012,2
9,18.514037516658465,9.077370726083041,16.136013320194298,invalid,300,0.694620208182322,18
10,20.128557159675655,5.043712023862852,19.486399933047444,invalid,100,0.742876203060715,20
11,21.871095589013198,4.665101531458856,21.3677712914785,invalid,100,0.746203915886743,22
12,2.9761510742998873,2.689699854964388,1.273966211192795,invalid,300,0.5451288770733853,3
13,18.489332319548133,10.411511001171915,15.27926203372281,invalid,100,0.8003488495322477,18
14,7.4982713434212585,4.626169786105784,5.901069924148874,invalid,100,0.6644557687757011,7
15,9.923230481376699,8.291044902352725,5.452437767979981,invalid,300,0.6413187378478618,10
16,7.347821370993407,1.9908221550231244,7.0729842391381395,invalid,300,0.553801557943473,7
17,20.192319137323,18.333906485064396,8.46153798906643,invalid,300,0.6177951518185647,20
18,20.229667037727474,10.069885769950355,17.545279394682456,invalid,100,0.7481006385324978,20
19,15.554005420820177,7.231021967838846,13.770962418492598,invalid,100,0.7550553086870353,15
20,19.38268004824413,17.632763112552656,8.048226566716638,invalid,100,0.6989859327338052,19
21,14.574574686423981,3.6450869416749256,14.11139853018763,invalid,100,0.7149276724213169,14
22,4.459288220672105,4.430109023916275,0.5092989998425106,invalid,300,0.5495956519835127,4
23,15.944750470893561,2.524318435645448,15.743661709225112,invalid,100,0.7744081022992584,16
24,16.894846679320334,0.422861948222165,16.889553934029376,invalid,100,0.7536965393731239,17
25,0.17947960922924433,0.047542732634324715,0.1730682486845677,invalid,100,0.548785117577838,0
26,13.203229704535227,11.558593739835194,6.381550390631108,invalid,300,0.5634782650826754,13
27,5.397621033542626,0.3245867840017236,5.387852655872577,invalid,100,0.5836029780565903,5
28,16.30560605199897,15.06701392286597,6.2336089202923635,invalid,300,0.6327608100500264,16
29,0.55422487618375,0.5484129065624579,0.08005309048756296,invalid,100,0.5982179252459905,0
30,21.648520739497847,11.532150936914405,18.32124299758869,invalid,100,0.7825899192577147,22
31,11.547338442283287,9.979308398809273,5.809856192892222,invalid,300,0.5638041627229391,11
