"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Valid-300","0.34189","12,4","12,4"
"Valid-100","0.36229","0,12","0,12"
"Invalid-100","0.38187","12,8","12,8"
"Valid-300","0.34042","0,0","0,0"
"Valid-100","0.32606","8,8","8,8"
"Invalid-100","0.33488","8,8","0,12"
"Valid-100","0.35446","4,0","4,0"
"Valid-100","0.36571","0,8","0,8"
"Valid-100","0.40727","0,4","0,4"
"Valid-300","0.37711","0,12","0,12"
"Valid-300","0.062115","4,12","4,12"
"Valid-300","0.31239","8,0","8,0"
"Invalid-100","0.3168","8,12","0,8"
"Invalid-300","0.33274","4,0","12,4"
"Valid-100","0.35801","4,12","4,12"
"Valid-300","0.34218","8,12","8,12"
"Valid-100","0.35429","4,4","4,4"
"Valid-100","0.36959","12,0","12,0"
"Valid-100","0.34493","0,8","0,8"
"Valid-300","0.26754","0,4","0,4"
"Valid-100","0.4474","8,8","8,8"
"Valid-300","0.27988","12,4","12,4"
"Valid-100","0.42615","8,0","8,0"
"Invalid-300","0.34653","12,8","12,0"
"Invalid-300","0.206","12,8","8,12"
"Invalid-100","0.34161","0,4","0,4"
"Invalid-300","0.21802","0,12","4,12"
"Invalid-100","0.30851","4,12","4,0"
"Valid-100","0.32563","8,4","8,4"
"Valid-300","0.36503","12,8","12,8"
"Invalid-100","0.38355","12,8","4,4"
"Valid-100","0.33753","0,12","0,12"
"Invalid-100","0.3436","8,4","12,4"
"Invalid-300","0.26133","0,8","8,12"
"Invalid-300","0.20873","8,0","4,12"
"Invalid-100","0.35396","4,4","12,12"
"Valid-100","0.34175","12,8","12,8"
"Invalid-100","0.36815","0,4","0,12"
"Invalid-100","0.33121","8,12","0,4"
"Invalid-300","0.28171","0,0","8,4"
"Invalid-300","0.24589","4,0","0,8"
"Valid-300","0.15115","8,0","8,0"
"Valid-100","0.33516","8,12","8,12"
"Invalid-100","0.35042","8,8","0,4"
"Invalid-300","0.25607","0,0","0,8"
"Valid-100","0.30679","0,0","0,0"
"Valid-100","0.33955","4,4","4,4"
"Valid-100","0.34271","12,4","12,4"
"Invalid-100","0.3135","0,8","4,0"
"Invalid-300","0.25954","0,8","4,8"
"Valid-100","0.3459","4,12","4,12"
"Valid-100","0.31948","4,12","4,12"
"Valid-300","0.14184","4,0","4,0"
"Valid-100","0.37677","8,4","8,4"
"Invalid-300","0.074496","0,8","12,4"
"Valid-100","0.42041","8,12","8,12"
"Invalid-100","0.36014","12,8","4,12"
"Valid-100","0.39925","12,12","12,12"
"Valid-300","0.34144","0,12","0,12"
"Valid-300","0.24197","8,8","8,8"
"Valid-300","0.13119","8,0","8,0"
"Invalid-100","0.36533","12,12","8,0"
"Invalid-100","0.32528","8,12","0,12"
"Invalid-100","0.33959","12,12","8,8"
"Valid-100","0.33932","8,0","8,0"
"Valid-300","0.36801","0,4","0,4"
"Invalid-300","0.1614","4,0","12,12"
"Valid-100","0.41479","8,0","8,0"
"Valid-100","0.48841","0,8","0,8"
"Invalid-300","0.34742","12,12","8,4"
"Invalid-300","0.20049","0,4","0,8"
"Valid-300","0.20402","0,8","0,8"
"Valid-300","0.19879","4,8","4,8"
"Valid-300","0.31623","12,12","12,12"
"Invalid-100","0.36143","8,0","8,0"
"Invalid-300","0.29806","12,0","0,8"
"Invalid-100","0.39377","4,8","8,4"
"Invalid-300","0.12017","8,8","4,8"
"Valid-100","0.44068","0,0","0,0"
"Valid-100","0.37299","12,12","12,12"
"Valid-300","0.3306","4,4","4,4"
