Trial,Size,User_Time,User_Input
No-target,8,0.81566,No-target
No-target,4,0.87116,No-target
Pop-out,16,0.61781,Target
Conjunction,4,0.78242,No-target
No-target,12,1.0614,No-target
Conjunction,12,0.68294,Target
Conjunction,4,0.70331,Target
Conjunction,16,0.85888,Target
Conjunction,8,0.67693,Target
No-target,4,0.78617,No-target
Conjunction,16,0.70236,Target
Conjunction,8,1.0728,Target
No-target,8,1.2314,No-target
No-target,8,1.0732,No-target
Conjunction,8,1.0255,Target
Conjunction,8,0.67128,Target
Conjunction,12,0.78507,Target
Conjunction,16,0.78145,Target
No-target,16,1.6028,No-target
Conjunction,12,0.6873,Target
Conjunction,16,0.66951,Target
Conjunction,4,0.54727,Target
Pop-out,8,0.52199,Target
No-target,8,0.85384,No-target
Conjunction,8,0.6505,Target
No-target,12,1.2335,No-target
No-target,16,1.1848,No-target
Conjunction,4,0.81104,Target
Conjunction,4,0.54457,Target
Conjunction,16,0.74662,Target
Pop-out,12,0.61979,Target
No-target,8,1.056,No-target
Conjunction,8,0.67765,Target
No-target,12,1.2203,No-target
No-target,8,1.5646,No-target
Pop-out,16,0.72174,Target
Conjunction,16,0.79124,Target
No-target,4,1.1125,No-target
Conjunction,12,0.64324,Target
No-target,8,1.0824,No-target
No-target,8,0.94236,No-target
No-target,4,1.1634,No-target
No-target,8,1.0054,No-target
No-target,12,1.4026,No-target
No-target,12,1.7485,No-target
Conjunction,4,0.6276,Target
No-target,16,1.4857,No-target
No-target,12,1.1237,No-target
Pop-out,8,0.86314,Target
No-target,8,0.87316,No-target
No-target,12,0.86637,No-target
No-target,8,0.99573,No-target
No-target,16,1.2783,No-target
No-target,4,0.81664,No-target
No-target,4,0.84091,No-target
Pop-out,16,1.1187,Target
Conjunction,12,1.0408,Target
Conjunction,4,1.4365,Target
No-target,16,1.3113,No-target
No-target,8,1.3176,No-target
No-target,12,1.3091,No-target
Conjunction,4,0.99846,Target
Pop-out,16,0.67005,Target
No-target,16,1.3856,No-target
Conjunction,4,0.71987,Target
No-target,8,0.92413,No-target
Pop-out,4,0.8114,Target
No-target,8,0.9675,No-target
No-target,16,0.9972,No-target
Conjunction,4,0.58645,Target
No-target,12,0.84198,No-target
